DATE_TIME,PRECIPITATION (CUMULATIVE INCHES)
06/03/1973@00:00:00,0
06/03/1973@01:00:00,0.27
06/03/1973@01:30:00,0.53
06/03/1973@02:00:00,0.6
06/03/1973@02:15:00,0.67
06/03/1973@02:45:00,1
06/03/1973@03:00:00,1
06/03/1973@03:15:00,1
06/03/1973@03:30:00,1
06/03/1973@03:45:00,1
06/03/1973@04:00:00,1
06/03/1973@04:15:00,1
06/03/1973@04:45:00,1
06/03/1973@05:00:00,1
06/03/1973@06:00:00,1
06/03/1973@06:15:00,1
06/03/1973@06:30:00,1
06/03/1973@08:00:00,1.3
06/03/1973@08:30:00,1.51
06/03/1973@08:45:00,1.95
06/03/1973@09:00:00,2.26
06/03/1973@09:15:00,2.32
06/03/1973@09:30:00,2.46
06/03/1973@09:45:00,2.47
06/03/1973@10:00:00,2.51
06/03/1973@10:15:00,2.57
06/03/1973@10:30:00,2.6
06/03/1973@10:45:00,2.63
06/03/1973@11:00:00,2.63
06/03/1973@11:15:00,2.63
06/03/1973@11:30:00,2.65
06/03/1973@12:00:00,2.65
06/03/1973@14:00:00,2.65
06/03/1973@18:00:00,2.67
06/03/1973@20:00:00,2.67
06/03/1973@21:00:00,2.93
06/03/1973@21:15:00,3.3
06/03/1973@21:30:00,3.42
06/03/1973@21:45:00,3.65
06/03/1973@22:00:00,4.25
06/03/1973@22:30:00,4.53
06/03/1973@22:45:00,4.54
06/03/1973@23:00:00,4.58
06/03/1973@23:15:00,4.62
06/03/1973@23:30:00,4.63
06/03/1973@23:45:00,4.78
06/04/1973@00:00:00,4.86
06/04/1973@00:45:00,5.29
06/04/1973@01:15:00,5.61
06/04/1973@01:45:00,6.44
06/04/1973@02:00:00,6.44
06/04/1973@02:15:00,6.44
06/04/1973@02:30:00,6.44
06/04/1973@02:45:00,6.44
06/04/1973@03:00:00,6.44
06/04/1973@03:15:00,6.44
06/04/1973@03:30:00,6.44
06/04/1973@03:45:00,6.44
06/04/1973@04:00:00,6.44
06/04/1973@04:30:00,6.44
06/04/1973@05:00:00,6.44
06/04/1973@06:00:00,6.44
06/04/1973@07:00:00,6.44
06/04/1973@08:00:00,6.44
06/04/1973@09:00:00,6.44
06/04/1973@09:30:00,6.44
06/04/1973@10:00:00,6.44
06/04/1973@12:00:00,6.47
