DATE_TIME,RUNOFF (CFS)
06/03/1973@00:00:00,10
06/03/1973@01:00:00,10
06/03/1973@01:30:00,10
06/03/1973@02:00:00,32
06/03/1973@02:15:00,94
06/03/1973@02:45:00,475
06/03/1973@03:00:00,348
06/03/1973@03:15:00,330
06/03/1973@03:30:00,424
06/03/1973@03:45:00,520
06/03/1973@04:00:00,546
06/03/1973@04:15:00,382
06/03/1973@04:45:00,180
06/03/1973@05:00:00,121
06/03/1973@06:00:00,53
06/03/1973@06:15:00,47
06/03/1973@06:30:00,13
06/03/1973@08:00:00,13
06/03/1973@08:30:00,13
06/03/1973@08:45:00,84
06/03/1973@09:00:00,98
06/03/1973@09:15:00,236
06/03/1973@09:30:00,1020
06/03/1973@09:45:00,2190
06/03/1973@10:00:00,2610
06/03/1973@10:15:00,2300
06/03/1973@10:30:00,1790
06/03/1973@10:45:00,1390
06/03/1973@11:00:00,1190
06/03/1973@11:15:00,750
06/03/1973@11:30:00,510
06/03/1973@12:00:00,316
06/03/1973@14:00:00,82
06/03/1973@18:00:00,26
06/03/1973@20:00:00,22
06/03/1973@21:00:00,21
06/03/1973@21:15:00,21
06/03/1973@21:30:00,20
06/03/1973@21:45:00,20
06/03/1973@22:00:00,20
06/03/1973@22:30:00,104
06/03/1973@22:45:00,1650
06/03/1973@23:00:00,5280
06/03/1973@23:15:00,6180
06/03/1973@23:30:00,5290
06/03/1973@23:45:00,4080
06/04/1973@00:00:00,2780
06/04/1973@00:45:00,1210
06/04/1973@01:15:00,672
06/04/1973@01:45:00,470
06/04/1973@02:00:00,840
06/04/1973@02:15:00,4000
06/04/1973@02:30:00,5170
06/04/1973@02:45:00,4820
06/04/1973@03:00:00,3330
06/04/1973@03:15:00,2270
06/04/1973@03:30:00,1430
06/04/1973@03:45:00,1050
06/04/1973@04:00:00,750
06/04/1973@04:30:00,362
06/04/1973@05:00:00,232
06/04/1973@06:00:00,119
06/04/1973@07:00:00,70
06/04/1973@08:00:00,46
06/04/1973@09:00:00,32
06/04/1973@09:30:00,25
06/04/1973@10:00:00,22
06/04/1973@12:00:00,12
06/05/1973@00:00:00,10
