YEAR	STAGE	DISCHARGE
1923	23	200000
1924	11.8	42000
1925	6.4	11300
1926	10.4	32400
1927	18.7	108000
1928	15	73000
1929	15.3	76500
1930	12.1	47800
1931	9.5	28200
1932	10.6	33700
1933	9.3	25700
1934	6.4	11700
1935	16	77800
1936	9.9	26600
1937	13	47500
1938	16.44	75600
1939	8.48	19200
1940	10.26	27800
1941	13.59	51000
1942	18.54	94000
1943	18.12	97200
1944	22.82	179000
1945	19.55	124000
1946	19.48	110000
1947	18.5	114000
1948	14.93	70200
1949	15.3	70700
1950	17.6	92800
1951	21.45	135000
1952	10.48	25800
1953	8.8	17500
1954	9.07	18700
1955	12.71	36300
1956	14.64	49200
1957	21.41	120000
1958	14.86	56800
1959	14.65	54800
1960	21.62	158000
1961	21.22	165000
1962	17.83	103000
1963	8.76	19700
1964	9	21100
1965	22.6	171000
1966	6.74	10400
1967	12.54	42000
1968	14.1	52800
1969	16.42	77000
1970	18.33	101000
1971	8.14	17100
