* WCF2.DATA  1/9/89 -- BULLETIN 17 EXAMPLES
*---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8

Z\t\t\t\t\t\t USGS

*\t\t\tLAT   LON\t\t\t\t    AREA\t\tELEV
* STATIONID\tDDMMSSDDDMMSS\t\t\t\t1234567123456712345678

H 12345678\t 3602190881342\t\t\t\t205.00\t    380.58
N 12345678\t BEARGRASS CREEK
Y 12345678\t 20.00
2 12345678
3 12345678\t 19450101   1810\t\t\t
3 12345678\t 19460101    791\t\t    
3 12345678\t 19470101    839\t\t    
3 12345678\t 19480101   1750\t\t    
3 12345678\t 19490101    898\t\t    
3 12345678\t 19500101   2120\t\t    
3 12345678\t 19510101   1220\t\t    
3 12345678\t 19520101   1290\t\t   
3 12345678\t 19530101    768\t\t    
3 12345678\t 19540101   1570\t\t\t
3 12345678\t 19550101   1240\t\t\t
3 12345678\t 19560101   1060\t\t\t
3 12345678\t 19570101   1490\t\t  
3 12345678\t 19580101    884\t\t\t
3 12345678\t 19590101   1320\t\t\t
3 12345678\t 19600101   3300\t\t   
3 12345678\t 19610101   2400\t\t\t
3 12345678\t 19620101    976\t\t\t
3 12345678\t 19630101    918\t\t\t
3 12345678\t 19640101   3920\t\t  
3 12345678\t 19650101   1150\t\t   
3 12345678\t 19660101    874\t\t  
3 12345678\t 19670101    712\t\t   
3 12345678\t 19680101   1450\t\t  
3 12345678\t 19690101    707\t\t   
3 12345678\t 19700101   5200\t\t    
3 12345678\t 19710101   2150\t\t   
3 12345678\t 19720101   1170\t\t    
3 12345678\t 19730101   2080\t\t    
3 12345678\t 19740101   1250\t\t\t
3 12345678\t 19750101   2270\t\t\t
*
