# HYETOGRAPH FILE
# Filename=rain_sta08057320_1973_0603.dat
# site=08057320 Ash Creek at Highland Road, Dallas, Texas
# latitude=36()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 14-W raw recorded precipitation in inches
# PRECIP2=Gage 15-W raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    ACCUM_WTD_PRECIP
06/03/1973@00:00:00    0.0000    0.0000    0.0000    0.0000
06/03/1973@01:00:00    1.0000    0.2700    0.0000    0.0300
06/03/1973@01:30:00    1.5000    0.5300    0.1300    0.1800
06/03/1973@02:00:00    2.0000    0.6000    0.3200    0.3500
06/03/1973@02:15:00    2.2500    0.6700    0.3600    0.4000
06/03/1973@02:45:00    2.7500    1.0000    0.4300    0.5000
06/03/1973@03:00:00    3.0000    1.0000    0.6900    0.7300
06/03/1973@03:15:00    3.2500    1.0000    0.7800    0.8100
06/03/1973@03:30:00    3.5000    1.0000    0.7900    0.8200
06/03/1973@03:45:00    3.7500    1.0000    0.8000    0.8200
06/03/1973@04:00:00    4.0000    1.0000    0.8000    0.8200
06/03/1973@04:15:00    4.2500    1.0000    0.8000    0.8200
06/03/1973@04:45:00    4.7500    1.0000    0.8000    0.8200
06/03/1973@05:00:00    5.0000    1.0000    0.8000    0.8200
06/03/1973@06:00:00    6.0000    1.0000    0.8000    0.8200
06/03/1973@06:15:00    6.2500    1.0000    0.8000    0.8200
06/03/1973@06:30:00    6.5000    1.0000    0.8000    0.8200
06/03/1973@08:00:00    8.0000    1.3000    0.8000    0.8600
06/03/1973@08:30:00    8.5000    1.5100    1.1100    1.1600
06/03/1973@08:45:00    8.7500    1.9500    1.1600    1.2500
06/03/1973@09:00:00    9.0000    2.2600    1.4400    1.5400
06/03/1973@09:15:00    9.2500    2.3200    1.6700    1.7500
06/03/1973@09:30:00    9.5000    2.4600    1.9300    1.9900
06/03/1973@09:45:00    9.7500    2.4700    2.0300    2.0800
06/03/1973@10:00:00    10.0000    2.5100    2.0500    2.1100
06/03/1973@10:15:00    10.2500    2.5700    2.1300    2.1800
06/03/1973@10:30:00    10.5000    2.6000    2.1700    2.2200
06/03/1973@10:45:00    10.7500    2.6300    2.2100    2.2600
06/03/1973@11:00:00    11.0000    2.6300    2.2700    2.3100
06/03/1973@11:15:00    11.2500    2.6300    2.3100    2.3500
06/03/1973@11:30:00    11.5000    2.6500    2.3300    2.3700
06/03/1973@12:00:00    12.0000    2.6500    2.3400    2.3800
06/03/1973@14:00:00    14.0000    2.6500    2.3400    2.3800
06/03/1973@18:00:00    18.0000    2.6700    2.3400    2.3800
06/03/1973@20:00:00    20.0000    2.6700    2.3400    2.3800
06/03/1973@21:00:00    21.0000    2.9300    2.3400    2.4100
06/03/1973@21:15:00    21.2500    3.3000    2.3400    2.4600
06/03/1973@21:30:00    21.5000    3.4200    2.3700    2.5000
06/03/1973@21:45:00    21.7500    3.6500    2.9400    3.0300
06/03/1973@22:00:00    22.0000    4.2500    3.7400    3.8000
06/03/1973@22:30:00    22.5000    4.5300    4.6900    4.6700
06/03/1973@22:45:00    22.7500    4.5400    4.8300    4.8000
06/03/1973@23:00:00    23.0000    4.5800    4.8600    4.8300
06/03/1973@23:15:00    23.2500    4.6200    4.8800    4.8500
06/03/1973@23:30:00    23.5000    4.6300    4.9000    4.8700
06/03/1973@23:45:00    23.7500    4.7800    4.9400    4.9200
06/04/1973@00:00:00    24.0000    4.8600    5.0200    5.0000
06/04/1973@00:45:00    24.7500    5.2900    5.0900    5.1100
06/04/1973@01:15:00    25.2500    5.6100    5.1400    5.2000
06/04/1973@01:45:00    25.7500    6.4400    5.4300    5.5500
06/04/1973@02:00:00    26.0000    6.4400    5.7900    5.8700
06/04/1973@02:15:00    26.2500    6.4400    5.8400    5.9100
06/04/1973@02:30:00    26.5000    6.4400    5.8400    5.9100
06/04/1973@02:45:00    26.7500    6.4400    5.8400    5.9100
06/04/1973@03:00:00    27.0000    6.4400    5.8400    5.9100
06/04/1973@03:15:00    27.2500    6.4400    5.8400    5.9100
06/04/1973@03:30:00    27.5000    6.4400    5.8400    5.9100
06/04/1973@03:45:00    27.7500    6.4400    5.8400    5.9100
06/04/1973@04:00:00    28.0000    6.4400    5.8400    5.9100
06/04/1973@04:30:00    28.5000    6.4400    5.8400    5.9100
06/04/1973@05:00:00    29.0000    6.4400    5.8400    5.9100
06/04/1973@06:00:00    30.0000    6.4400    5.8400    5.9100
06/04/1973@07:00:00    31.0000    6.4400    5.8400    5.9100
06/04/1973@08:00:00    32.0000    6.4400    5.8400    5.9100
06/04/1973@09:00:00    33.0000    6.4400    5.8400    5.9100
06/04/1973@09:30:00    33.5000    6.4400    5.8400    5.9100
06/04/1973@10:00:00    34.0000    6.4400    5.8400    5.9100
06/04/1973@12:00:00    36.0000    6.4700    5.8400    5.9200
