# HYDROGRAPH FILE
# Filename=unit_sta08057320_1973_0603.dat
# site=08057320 Ash Creek at Highland Road at Dallas, Texas
# latitude=32()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
06/03/1973@00:00:00    0.0000    10.0000    0.0011
06/03/1973@01:00:00    1.0000    10.0000    0.0028
06/03/1973@01:30:00    1.5000    10.0000    0.0039
06/03/1973@02:00:00    2.0000    32.0000    0.0066
06/03/1973@02:15:00    2.2500    94.0000    0.0145
06/03/1973@02:45:00    2.7500    475.0000    0.0543
06/03/1973@03:00:00    3.0000    348.0000    0.0738
06/03/1973@03:15:00    3.2500    330.0000    0.0922
06/03/1973@03:30:00    3.5000    424.0000    0.1159
06/03/1973@03:45:00    3.7500    520.0000    0.1450
06/03/1973@04:00:00    4.0000    546.0000    0.1756
06/03/1973@04:15:00    4.2500    382.0000    0.2076
06/03/1973@04:45:00    4.7500    180.0000    0.2227
06/03/1973@05:00:00    5.0000    121.0000    0.2396
06/03/1973@06:00:00    6.0000    53.0000    0.2470
06/03/1973@06:15:00    6.2500    47.0000    0.2497
06/03/1973@06:30:00    6.5000    13.0000    0.2522
06/03/1973@08:00:00    8.0000    13.0000    0.2551
06/03/1973@08:30:00    8.5000    13.0000    0.2562
06/03/1973@08:45:00    8.7500    84.0000    0.2609
06/03/1973@09:00:00    9.0000    98.0000    0.2664
06/03/1973@09:15:00    9.2500    236.0000    0.2796
06/03/1973@09:30:00    9.5000    1020.0000    0.3366
06/03/1973@09:45:00    9.7500    2190.0000    0.4591
06/03/1973@10:00:00    10.0000    2610.0000    0.6051
06/03/1973@10:15:00    10.2500    2300.0000    0.7337
06/03/1973@10:30:00    10.5000    1790.0000    0.8338
06/03/1973@10:45:00    10.7500    1390.0000    0.9115
06/03/1973@11:00:00    11.0000    1190.0000    0.9781
06/03/1973@11:15:00    11.2500    750.0000    1.0200
06/03/1973@11:30:00    11.5000    510.0000    1.0628
06/03/1973@12:00:00    12.0000    316.0000    1.1512
06/03/1973@14:00:00    14.0000    82.0000    1.2062
06/03/1973@18:00:00    18.0000    26.0000    1.2236
06/03/1973@20:00:00    20.0000    22.0000    1.2310
06/03/1973@21:00:00    21.0000    21.0000    1.2340
06/03/1973@21:15:00    21.2500    21.0000    1.2351
06/03/1973@21:30:00    21.5000    20.0000    1.2363
06/03/1973@21:45:00    21.7500    20.0000    1.2374
06/03/1973@22:00:00    22.0000    20.0000    1.2391
06/03/1973@22:30:00    22.5000    104.0000    1.2478
06/03/1973@22:45:00    22.7500    1650.0000    1.3401
06/03/1973@23:00:00    23.0000    5280.0000    1.6353
06/03/1973@23:15:00    23.2500    6180.0000    1.9810
06/03/1973@23:30:00    23.5000    5290.0000    2.2768
06/03/1973@23:45:00    23.7500    4080.0000    2.5050
06/04/1973@00:00:00    24.0000    2780.0000    2.8159
06/04/1973@00:45:00    24.7500    1210.0000    2.9851
06/04/1973@01:15:00    25.2500    672.0000    3.0602
06/04/1973@01:45:00    25.7500    470.0000    3.0997
06/04/1973@02:00:00    26.0000    840.0000    3.1466
06/04/1973@02:15:00    26.2500    4000.0000    3.3703
06/04/1973@02:30:00    26.5000    5170.0000    3.6595
06/04/1973@02:45:00    26.7500    4820.0000    3.9290
06/04/1973@03:00:00    27.0000    3330.0000    4.1153
06/04/1973@03:15:00    27.2500    2270.0000    4.2422
06/04/1973@03:30:00    27.5000    1430.0000    4.3222
06/04/1973@03:45:00    27.7500    1050.0000    4.3809
06/04/1973@04:00:00    28.0000    750.0000    4.4438
06/04/1973@04:30:00    28.5000    362.0000    4.4843
06/04/1973@05:00:00    29.0000    232.0000    4.5232
06/04/1973@06:00:00    30.0000    119.0000    4.5499
06/04/1973@07:00:00    31.0000    70.0000    4.5655
06/04/1973@08:00:00    32.0000    46.0000    4.5758
06/04/1973@09:00:00    33.0000    32.0000    4.5812
06/04/1973@09:30:00    33.5000    25.0000    4.5840
06/04/1973@10:00:00    34.0000    22.0000    4.5901
06/04/1973@12:00:00    36.0000    12.0000    4.6089
06/05/1973@00:00:00    48.0000    10.0000    4.6223
