# HYETOGRAPH FILE
# Filename=rain_sta08057320_1978_0520.dat
# site=08057320 Ash Creek at Highland Road, Dallas, Texas
# latitude=36()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 14-W raw recorded precipitation in inches
# PRECIP2=Gage 15-W raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    ACCUM_WTD_PRECIP
05/20/1978@17:15:00    0.0000    0.0000    0.0000    0.0000
05/20/1978@17:30:00    0.2500    0.2700    0.0000    0.0300
05/20/1978@17:45:00    0.5000    0.6800    0.0000    0.0800
05/20/1978@18:00:00    0.7500    0.6900    0.0000    0.0800
05/20/1978@18:15:00    1.0000    0.7000    0.0000    0.0800
05/20/1978@18:30:00    1.2500    0.7000    0.4500    0.4800
05/20/1978@18:45:00    1.5000    0.7000    0.5400    0.5600
05/20/1978@19:00:00    1.7500    0.7000    0.5500    0.5700
05/20/1978@19:15:00    2.0000    0.7100    0.5500    0.5700
05/20/1978@19:30:00    2.2500    0.7200    0.5500    0.5700
05/20/1978@19:45:00    2.5000    0.7200    0.5500    0.5700
05/20/1978@20:00:00    2.7500    0.7300    0.5500    0.5700
05/20/1978@20:15:00    3.0000    0.7500    0.5500    0.5700
05/20/1978@20:30:00    3.2500    1.0400    0.5500    0.6100
05/20/1978@20:45:00    3.5000    1.2300    0.5500    0.6300
05/20/1978@21:00:00    3.7500    1.6800    0.5800    0.7100
05/20/1978@21:15:00    4.0000    1.7100    0.6700    0.7900
05/20/1978@21:30:00    4.2500    1.7300    0.7500    0.8700
05/20/1978@21:45:00    4.5000    1.7500    1.5100    1.5400
05/20/1978@22:00:00    4.7500    1.8100    1.5400    1.5700
05/20/1978@22:15:00    5.0000    1.8800    1.5900    1.6200
05/20/1978@22:30:00    5.2500    1.8900    1.6900    1.7100
05/20/1978@22:45:00    5.5000    1.8900    1.7800    1.7900
05/20/1978@23:00:00    5.7500    1.9200    1.8400    1.8500
05/20/1978@23:15:00    6.0000    1.9200    1.8800    1.8800
05/20/1978@23:30:00    6.2500    1.9300    1.8900    1.8900
05/20/1978@23:45:00    6.5000    1.9400    1.9000    1.9000
05/21/1978@00:00:00    6.7500    1.9400    1.9100    1.9100
05/21/1978@00:15:00    7.0000    1.9500    1.9100    1.9100
05/21/1978@00:30:00    7.2500    1.9600    1.9200    1.9200
05/21/1978@00:45:00    7.5000    1.9700    1.9200    1.9300
05/21/1978@01:00:00    7.7500    1.9700    1.9200    1.9300
05/21/1978@01:15:00    8.0000    1.9700    1.9200    1.9300
05/21/1978@01:30:00    8.2500    1.9700    1.9200    1.9300
05/21/1978@01:45:00    8.5000    1.9700    1.9200    1.9300
05/21/1978@02:00:00    8.7500    1.9700    1.9200    1.9300
05/21/1978@02:15:00    9.0000    1.9700    1.9200    1.9300
05/21/1978@02:30:00    9.2500    1.9700    1.9200    1.9300
05/21/1978@02:45:00    9.5000    1.9700    1.9200    1.9300
05/21/1978@03:00:00    9.7500    1.9700    1.9200    1.9300
05/21/1978@03:15:00    10.0000    1.9800    1.9300    1.9400
05/21/1978@03:30:00    10.2500    2.0000    1.9400    1.9500
05/21/1978@03:45:00    10.5000    2.0100    1.9800    1.9800
05/21/1978@04:00:00    10.7500    2.0300    2.0300    2.0300
05/21/1978@04:30:00    11.2500    2.0700    2.1500    2.1400
05/21/1978@05:00:00    11.7500    2.1500    2.1600    2.1600
05/21/1978@05:15:00    12.0000    2.2200    2.1800    2.1800
05/21/1978@05:30:00    12.2500    2.2800    2.1900    2.2000
05/21/1978@06:00:00    12.7500    2.5000    2.2700    2.3000
05/21/1978@06:30:00    13.2500    2.5200    2.4100    2.4200
05/21/1978@07:00:00    13.7500    2.5400    2.4500    2.4600
05/21/1978@07:15:00    14.0000    2.5400    2.4800    2.4900
05/21/1978@07:30:00    14.2500    2.5400    2.5000    2.5000
05/21/1978@07:45:00    14.5000    2.5500    2.5200    2.5200
05/21/1978@08:00:00    14.7500    2.5500    2.5500    2.5500
05/21/1978@08:30:00    15.2500    2.5500    2.6000    2.5900
05/21/1978@09:00:00    15.7500    2.6700    2.6500    2.6500
05/21/1978@09:15:00    16.0000    2.7100    2.7500    2.7500
05/21/1978@09:30:00    16.2500    2.7500    2.7900    2.7900
05/21/1978@09:45:00    16.5000    2.7500    2.8000    2.7900
05/21/1978@10:00:00    16.7500    2.7500    2.9100    2.8900
05/21/1978@10:15:00    17.0000    2.7500    2.9600    2.9300
05/21/1978@10:30:00    17.2500    2.7600    2.9600    2.9400
05/21/1978@10:45:00    17.5000    2.7600    2.9600    2.9400
05/21/1978@11:00:00    17.7500    2.7600    2.9700    2.9400
05/21/1978@11:15:00    18.0000    2.7700    2.9700    2.9500
05/21/1978@11:30:00    18.2500    2.7700    2.9700    2.9500
05/21/1978@12:00:00    18.7500    2.7800    2.9700    2.9500
05/21/1978@12:30:00    19.2500    2.7800    2.9800    2.9600
05/21/1978@13:00:00    19.7500    2.7900    2.9900    2.9700
05/21/1978@14:00:00    20.7500    2.7900    2.9900    2.9700
05/21/1978@16:00:00    22.7500    2.8000    2.9900    2.9700
05/21/1978@19:00:00    25.7500    2.9200    3.1400    3.1100
