# HYDROGRAPH FILE
# Filename=unit_sta08057320_1978_0520.dat
# site=08057320 Ash Creek at Highland Road at Dallas, Texas
# latitude=32()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
05/20/1978@00:00:00    0.0000    1.0000    0.0019
05/20/1978@17:15:00    17.2500    1.0000    0.0039
05/20/1978@17:30:00    17.5000    1.0000    0.0039
05/20/1978@17:45:00    17.7500    1.0000    0.0040
05/20/1978@18:00:00    18.0000    1.0000    0.0040
05/20/1978@18:15:00    18.2500    1.0000    0.0041
05/20/1978@18:30:00    18.5000    1.0000    0.0041
05/20/1978@18:45:00    18.7500    1.0000    0.0042
05/20/1978@19:00:00    19.0000    8.0000    0.0046
05/20/1978@19:15:00    19.2500    46.0000    0.0072
05/20/1978@19:30:00    19.5000    52.0000    0.0101
05/20/1978@19:45:00    19.7500    52.0000    0.0130
05/20/1978@20:00:00    20.0000    43.0000    0.0154
05/20/1978@20:15:00    20.2500    37.0000    0.0175
05/20/1978@20:30:00    20.5000    34.0000    0.0194
05/20/1978@20:45:00    20.7500    30.0000    0.0211
05/20/1978@21:00:00    21.0000    27.0000    0.0226
05/20/1978@21:15:00    21.2500    24.0000    0.0239
05/20/1978@21:30:00    21.5000    34.0000    0.0258
05/20/1978@21:45:00    21.7500    106.0000    0.0318
05/20/1978@22:00:00    22.0000    1610.0000    0.1218
05/20/1978@22:15:00    22.2500    2790.0000    0.2778
05/20/1978@22:30:00    22.5000    2600.0000    0.4232
05/20/1978@22:45:00    22.7500    1830.0000    0.5256
05/20/1978@23:00:00    23.0000    1270.0000    0.5966
05/20/1978@23:15:00    23.2500    973.0000    0.6510
05/20/1978@23:30:00    23.5000    840.0000    0.6980
05/20/1978@23:45:00    23.7500    822.0000    0.7440
05/21/1978@00:00:00    24.0000    774.0000    0.7873
05/21/1978@00:15:00    24.2500    602.0000    0.8209
05/21/1978@00:30:00    24.5000    442.0000    0.8456
05/21/1978@00:45:00    24.7500    337.0000    0.8645
05/21/1978@01:00:00    25.0000    261.0000    0.8791
05/21/1978@01:15:00    25.2500    190.0000    0.8897
05/21/1978@01:30:00    25.5000    149.0000    0.8980
05/21/1978@01:45:00    25.7500    119.0000    0.9047
05/21/1978@02:00:00    26.0000    103.0000    0.9105
05/21/1978@02:15:00    26.2500    87.0000    0.9153
05/21/1978@02:30:00    26.5000    77.0000    0.9196
05/21/1978@02:45:00    26.7500    70.0000    0.9235
05/21/1978@03:00:00    27.0000    62.0000    0.9270
05/21/1978@03:15:00    27.2500    57.0000    0.9302
05/21/1978@03:30:00    27.5000    48.0000    0.9329
05/21/1978@03:45:00    27.7500    45.0000    0.9354
05/21/1978@04:00:00    28.0000    3.5000    0.9357
05/21/1978@04:30:00    28.5000    6.8000    0.9365
05/21/1978@05:00:00    29.0000    12.0000    0.9375
05/21/1978@05:15:00    29.2500    17.0000    0.9384
05/21/1978@05:30:00    29.5000    169.0000    0.9526
05/21/1978@06:00:00    30.0000    178.0000    0.9725
05/21/1978@06:30:00    30.5000    165.0000    0.9910
05/21/1978@07:00:00    31.0000    311.0000    1.0170
05/21/1978@07:15:00    31.2500    386.0000    1.0386
05/21/1978@07:30:00    31.5000    434.0000    1.0629
05/21/1978@07:45:00    31.7500    424.0000    1.0866
05/21/1978@08:00:00    32.0000    353.0000    1.1162
05/21/1978@08:30:00    32.5000    180.0000    1.1364
05/21/1978@09:00:00    33.0000    62.0000    1.1416
05/21/1978@09:15:00    33.2500    46.0000    1.1441
05/21/1978@09:30:00    33.5000    63.0000    1.1477
05/21/1978@09:45:00    33.7500    170.0000    1.1572
05/21/1978@10:00:00    34.0000    250.0000    1.1711
05/21/1978@10:15:00    34.2500    298.0000    1.1878
05/21/1978@10:30:00    34.5000    355.0000    1.2077
05/21/1978@10:45:00    34.7500    343.0000    1.2268
05/21/1978@11:00:00    35.0000    270.0000    1.2419
05/21/1978@11:15:00    35.2500    201.0000    1.2532
05/21/1978@11:30:00    35.5000    156.0000    1.2663
05/21/1978@12:00:00    36.0000    83.0000    1.2756
05/21/1978@12:30:00    36.5000    25.0000    1.2783
05/21/1978@13:00:00    37.0000    21.0000    1.2819
05/21/1978@14:00:00    38.0000    15.0000    1.2869
05/21/1978@16:00:00    40.0000    8.4000    1.2916
05/21/1978@19:00:00    43.0000    3.4000    1.2931
05/21/1978@20:00:00    44.0000    2.5000    1.2940
05/21/1978@22:00:00    46.0000    1.5000    1.2946
05/22/1978@00:00:00    48.0000    1.0000    1.2949
