Time (min),Interpolated Value
0.0,0.0
15.0,0.0025
30.0,0.005
45.0,0.0075
60.0,0.01
75.0,0.0125
90.0,0.015
105.0,0.0175
120.0,0.02
135.0,0.022875
150.0,0.02575
165.0,0.028625
180.0,0.0315
195.0,0.034375
210.0,0.03725
225.0,0.040125
240.0,0.043
255.0,0.046625
270.0,0.05025
285.0,0.053875
300.0,0.0575
315.0,0.061125
330.0,0.06475
345.0,0.068375
360.0,0.072
375.0,0.07625
390.0,0.0805
405.0,0.08475
420.0,0.089
435.0,0.0955
450.0,0.102
465.0,0.1085
480.0,0.115
495.0,0.1225
510.0,0.13
525.0,0.139
540.0,0.148
555.0,0.1575
570.0,0.167
585.0,0.178
600.0,0.189
615.0,0.2025
630.0,0.216
645.0,0.233
660.0,0.25
675.0,0.274
690.0,0.298
705.0,0.339
720.0,0.5
735.0,0.601
750.0,0.702
765.0,0.713136
780.0,0.724273
795.0,0.735409
810.0,0.746545
819.0,0.7928
834.0,0.8058
849.0,0.816625
864.0,0.826
879.0,0.835375
894.0,0.84475
909.0,0.854125
924.0,0.8635
939.0,0.872875
954.0,0.88225
969.0,0.888663
984.0,0.8931
999.0,0.897537
1014.0,0.901975
1029.0,0.906412
1044.0,0.91085
1059.0,0.915288
1074.0,0.919725
1089.0,0.924162
1104.0,0.9286
1119.0,0.933037
1134.0,0.937475
1149.0,0.941912
1164.0,0.94635
1179.0,0.950788
1194.0,0.955225
1209.0,0.958612
1224.0,0.9613
1239.0,0.963987
1254.0,0.966675
1269.0,0.969363
1284.0,0.97205
1299.0,0.974738
1314.0,0.977425
1329.0,0.980112
1344.0,0.9828
1359.0,0.985487
1374.0,0.988175
1389.0,0.990862
1404.0,0.99355
1419.0,0.996237
1434.0,0.998925
1449.0,1.0
1464.0,1.0
1479.0,1.0
1494.0,1.0
