Time (min),Interpolated Value
0.0,0.0
1.0,0.000167
2.0,0.000333
3.0,0.0005
4.0,0.000667
5.0,0.000833
6.0,0.001
7.0,0.001167
8.0,0.001333
9.0,0.0015
10.0,0.001667
11.0,0.001833
12.0,0.002
13.0,0.002167
14.0,0.002333
15.0,0.0025
16.0,0.002667
17.0,0.002833
18.0,0.003
19.0,0.003167
20.0,0.003333
21.0,0.0035
22.0,0.003667
23.0,0.003833
24.0,0.004
25.0,0.004167
26.0,0.004333
27.0,0.0045
28.0,0.004667
29.0,0.004833
30.0,0.005
31.0,0.005167
32.0,0.005333
33.0,0.0055
34.0,0.005667
35.0,0.005833
36.0,0.006
37.0,0.006167
38.0,0.006333
39.0,0.0065
40.0,0.006667
41.0,0.006833
42.0,0.007
43.0,0.007167
44.0,0.007333
45.0,0.0075
46.0,0.007667
47.0,0.007833
48.0,0.008
49.0,0.008167
50.0,0.008333
51.0,0.0085
52.0,0.008667
53.0,0.008833
54.0,0.009
55.0,0.009167
56.0,0.009333
57.0,0.0095
58.0,0.009667
59.0,0.009833
60.0,0.01
61.0,0.010167
62.0,0.010333
63.0,0.0105
64.0,0.010667
65.0,0.010833
66.0,0.011
67.0,0.011167
68.0,0.011333
69.0,0.0115
70.0,0.011667
71.0,0.011833
72.0,0.012
73.0,0.012167
74.0,0.012333
75.0,0.0125
76.0,0.012667
77.0,0.012833
78.0,0.013
79.0,0.013167
80.0,0.013333
81.0,0.0135
82.0,0.013667
83.0,0.013833
84.0,0.014
85.0,0.014167
86.0,0.014333
87.0,0.0145
88.0,0.014667
89.0,0.014833
90.0,0.015
91.0,0.015167
92.0,0.015333
93.0,0.0155
94.0,0.015667
95.0,0.015833
96.0,0.016
97.0,0.016167
98.0,0.016333
99.0,0.0165
100.0,0.016667
101.0,0.016833
102.0,0.017
103.0,0.017167
104.0,0.017333
105.0,0.0175
106.0,0.017667
107.0,0.017833
108.0,0.018
109.0,0.018167
110.0,0.018333
111.0,0.0185
112.0,0.018667
113.0,0.018833
114.0,0.019
115.0,0.019167
116.0,0.019333
117.0,0.0195
118.0,0.019667
119.0,0.019833
120.0,0.02
121.0,0.020192
122.0,0.020383
123.0,0.020575
124.0,0.020767
125.0,0.020958
126.0,0.02115
127.0,0.021342
128.0,0.021533
129.0,0.021725
130.0,0.021917
131.0,0.022108
132.0,0.0223
133.0,0.022492
134.0,0.022683
135.0,0.022875
136.0,0.023067
137.0,0.023258
138.0,0.02345
139.0,0.023642
140.0,0.023833
141.0,0.024025
142.0,0.024217
143.0,0.024408
144.0,0.0246
145.0,0.024792
146.0,0.024983
147.0,0.025175
148.0,0.025367
149.0,0.025558
150.0,0.02575
151.0,0.025942
152.0,0.026133
153.0,0.026325
154.0,0.026517
155.0,0.026708
156.0,0.0269
157.0,0.027092
158.0,0.027283
159.0,0.027475
160.0,0.027667
161.0,0.027858
162.0,0.02805
163.0,0.028242
164.0,0.028433
165.0,0.028625
