Time (min),Interpolated Value
0.0,0.0
15.0,0.002381
30.0,0.004762
45.0,0.007143
60.0,0.009524
75.0,0.011905
90.0,0.014286
105.0,0.016667
120.0,0.019048
135.0,0.021725
150.0,0.0246
165.0,0.027475
180.0,0.03035
195.0,0.033225
210.0,0.0361
225.0,0.038975
240.0,0.04185
255.0,0.045175
270.0,0.0488
285.0,0.052425
300.0,0.05605
315.0,0.059675
330.0,0.0633
345.0,0.066925
360.0,0.07055
375.0,0.07455
390.0,0.0788
405.0,0.08305
420.0,0.0873
435.0,0.0929
450.0,0.0994
465.0,0.1059
480.0,0.1124
495.0,0.1195
510.0,0.127
525.0,0.1354
540.0,0.1444
555.0,0.1537
570.0,0.1632
585.0,0.1736
600.0,0.1846
615.0,0.1971
630.0,0.2106
645.0,0.2262
660.0,0.2432
675.0,0.2644
690.0,0.2884
705.0,0.3226
720.0,0.4356
735.0,0.5606
750.0,0.6616
765.0,0.708682
780.0,0.719818
795.0,0.730955
810.0,0.742091
819.0,0.7876
834.0,0.8006
849.0,0.812875
864.0,0.82225
879.0,0.831625
894.0,0.841
909.0,0.850375
924.0,0.85975
939.0,0.869125
954.0,0.8785
969.0,0.886888
984.0,0.891325
999.0,0.895763
1014.0,0.9002
1029.0,0.904637
1044.0,0.909075
1059.0,0.913512
1074.0,0.91795
1089.0,0.922388
1104.0,0.926825
1119.0,0.931262
1134.0,0.9357
1149.0,0.940137
1164.0,0.944575
1179.0,0.949012
1194.0,0.95345
1209.0,0.957537
1224.0,0.960225
1239.0,0.962912
1254.0,0.9656
1269.0,0.968287
1284.0,0.970975
1299.0,0.973662
1314.0,0.97635
1329.0,0.979038
1344.0,0.981725
1359.0,0.984413
1374.0,0.9871
1389.0,0.989788
1404.0,0.992475
1419.0,0.995162
1434.0,0.99785
1449.0,1.0
