Time (min),Interpolated Value
0.0,0.0
15.0,0.00275
30.0,0.0055
45.0,0.00825
60.0,0.011
75.0,0.01375
90.0,0.0165
105.0,0.01925
120.0,0.022
135.0,0.02525
150.0,0.0285
165.0,0.03175
180.0,0.035
195.0,0.03825
210.0,0.0415
225.0,0.04475
240.0,0.048
255.0,0.052
270.0,0.056
285.0,0.06
300.0,0.064
315.0,0.068
330.0,0.072
345.0,0.076
360.0,0.08
375.0,0.0845
390.0,0.089
405.0,0.0935
420.0,0.098
435.0,0.1035
450.0,0.109
465.0,0.1145
480.0,0.12
495.0,0.1265
510.0,0.133
525.0,0.14
540.0,0.147
555.0,0.155
570.0,0.163
585.0,0.172
600.0,0.181
615.0,0.1925
630.0,0.204
645.0,0.2195
660.0,0.235
675.0,0.259
690.0,0.283
705.0,0.357
720.0,0.663
735.0,0.699
750.0,0.735
765.0,0.743409
780.0,0.751818
795.0,0.760227
810.0,0.768636
819.0,0.8053
834.0,0.8158
849.0,0.8245
864.0,0.832
879.0,0.8395
894.0,0.847
909.0,0.8545
924.0,0.862
939.0,0.8695
954.0,0.877
969.0,0.8827
984.0,0.8872
999.0,0.8917
1014.0,0.8962
1029.0,0.9007
1044.0,0.9052
1059.0,0.9097
1074.0,0.9142
1089.0,0.9187
1104.0,0.9232
1119.0,0.9277
1134.0,0.9322
1149.0,0.9367
1164.0,0.9412
1179.0,0.9457
1194.0,0.9502
1209.0,0.9538
1224.0,0.9568
1239.0,0.9598
1254.0,0.9628
1269.0,0.9658
1284.0,0.9688
1299.0,0.9718
1314.0,0.9748
1329.0,0.9778
1344.0,0.9808
1359.0,0.9838
1374.0,0.9868
1389.0,0.9898
1404.0,0.9928
1419.0,0.9958
1434.0,0.9988
1449.0,1.0
1464.0,1.0
